phrase,tsne_0,tsne_1,label
3d computer graphics,5.966562695119165,1.313773142683883,cs
3d core graphics system,4.028796964922166,-0.529976044921875,cs
Gradient boosting,0.001450648377494594,-2.913750101655649,cs
Node Link,1.4699497736269536,-2.1720328366361947,cs
Object Oriented Programming,4.695156549813376,-1.7633728712362358,cs
Singleton pattern,-1.653226865265871,3.7300438843571424,cs
abstract algebra,4.274923741095279,8.029985194582018,cs
abstract data structures,1.6791623904757011,8.706048719142224,cs
abstract data type,0.5688206576691799,8.815473267206302,cs
abstract graphical data type,1.3267103269820464,8.820534418604797,cs
abstract machines,0.5535468137621657,8.44377695937206,cs
acoustic model,-0.8143194295131057,1.5528397893440615,cs
active networking,-0.6062060834786626,-6.39261335418901,cs
adaptive huffman coding,1.8243450359074938,-0.28131771237716463,cs
adaptive predictive coding,2.272098049039653,-1.5491641820080786,cs
adjacency list,-0.28709453741542434,0.3979872968218602,cs
adjacency list data structure,2.896196480444421,-1.134908061430384,cs
adjacent vertices,-2.4278521092020933,-0.693037698619359,cs
advanced computing environment,3.388209019967389,-3.954443481283169,cs
affective computing,6.015296906034015,-1.7367910576049856,cs
algebraic theories,4.568815628128942,-0.03718491050034581,cs
algorithmic assignment,4.309494232964759,-1.2523855757301248,cs
algorithmic complexity theory,7.573912936396547,0.858805537345344,cs
algorithmic design,5.857854547038862,-1.6916258451141755,cs
algorithmic information theory,7.163942110174656,-1.471983623695857,cs
analog filters,1.9881360991716626,5.51584525571134,cs
analog recording,1.8263870703840206,5.952730155870731,cs
analog signal,-0.14546589591009282,5.775149822032588,cs
analog-to-digital converter,3.1381670363932352,3.9145537493955747,cs
application crashing,2.0278799834112036,5.845418569776987,cs
application programming interface,6.351419490207451,-3.8692835185089494,cs
application programming interfaces,6.22874446242656,-3.5168215118321564,cs
applied mathematics,5.550081337904249,0.4622991092081397,cs
approximation algorithms,3.1304064265899156,1.2636826048914886,cs
arnoldi iteration,-1.366221765185839,1.5426757028492024,cs
array list,1.5500088578845386,-0.1272048669098427,cs
artificial bee colony algorithm,6.2605266837999585,2.297600802801249,cs
artificial consciousness,0.47078502028208935,7.664781850301067,cs
artificial intelligence,4.81119769258698,2.5134381792732055,cs
artificial intelligent agents,2.5902492178993533,2.473023945900506,cs
artificial neural network,5.5368033087026935,1.4507977728253072,cs
artificial neural networks,5.834445417937866,1.7264998145706412,cs
artificial neurons,2.4730841623997235,5.532570300853296,cs
artificial neurons stochastic transfer functions,5.546451815148435,1.5684590828678042,cs
artificial systems,1.2167991382556287,5.1126161259492,cs
associative arrays,-0.4324331339208993,0.01056802134167529,cs
associative classifier,0.04770870233041622,-0.7044547982649498,cs
augmented reality,1.4658951082887015,-1.3327220568880076,cs
authentication mechanism,2.2406320694170834,-2.280783574014765,cs
automata theory,6.875731644197267,-0.9749870374574964,cs
automata-based programming,6.915052925553827,-1.4564414443291922,cs
automatic memory management,3.6629617066589035,-0.12908208805826354,cs
automatic speech recognition,-0.5697623176085743,-0.7739296234616198,cs
autonomic computing,6.130327298324382,-0.9611201793662427,cs
autonomic networking,5.013219926295056,-2.1800413992558463,cs
autonomous operation,-4.493483977573531,-0.645147139466638,cs
autonomous processing nodes,3.1655941952653133,-2.9256576317366854,cs
avl trees,-1.4848153250470604,0.38754277629424927,cs
axiomatic set theory,2.6703399986950944,-1.9069843567267808,cs
back end,-3.647329342266896,3.5261352911576895,cs
backpropagation based artificial neural networks,7.477142444364131,1.3876155183077343,cs
backward euler method,-0.9873462597790839,6.880733526229994,cs
balanced binary search trees,-0.1092246483495373,1.8290086536990862,cs
basic function,-5.445045080358437,-1.6276687977485893,cs
bayes net,-1.3977454716962703,-0.29577132537077283,cs
bayes network,-1.126814567244262,-0.9187233716146177,cs
bayesian network,3.6055769217509055,0.1957655423816538,cs
bayesian networks,3.768732597641855,0.30979850745475557,cs
bcjr algorithm,1.7037040602694837,-1.2277915662489225,cs
behavioral software design pattern,7.08799102307222,-1.1353563615622224,cs
belief network,-0.026510004773552098,-1.8158142559826718,cs
bernstein basis polynomials,1.1621738145393952,1.8568718187971531,cs
bernstein polynomial,1.3285133038622308,1.9907255739007905,cs
bernstein polynomials,0.8204376813272253,1.5342590062818657,cs
